StudyInstanceUID,group,fold
1.2.826.0.1.3680043.8.498.10240237086492917349933491458808329326,30f4d54c2febf6f5575c6c937680023d,2
1.2.826.0.1.3680043.8.498.10241639721703882165429374175491428414,8d83ea1110ad2a6ff13f7dbacde364c0,4
1.2.826.0.1.3680043.8.498.10243300429607935614655219482457289307,9fa55cce39ed97c556adc9b9ebc9d6ad,2
1.2.826.0.1.3680043.8.498.10247930792182001003497189021027466833,3b7f51d1397b9c41bf5e6313cef01df9,0
1.2.826.0.1.3680043.8.498.10252121617380434672930525780360219531,9ba9dabc3eba98ef4199eee48288d921,3
1.2.826.0.1.3680043.8.498.10252163031705285141538200795896549203,b576ff442fbbcb58655f3d78e708c81c,1
1.2.826.0.1.3680043.8.498.10254828365033984708960944586564394286,090c5a93d2fb0753c231c1a52fbb98e9,4
1.2.826.0.1.3680043.8.498.10255067212695306715722782826234429766,9b27d775ca64688d29f3d414960eda6c,3
1.2.826.0.1.3680043.8.498.10256441455107860474283716992657597873,5b6931ab68aa4007b52f2f6862036976,3
1.2.826.0.1.3680043.8.498.10261794102024899290234062909324134903,233b7b93f3f19c4fb12cad4cb0b9f8b4,1
1.2.826.0.1.3680043.8.498.10262024906324456863812446480254600405,67b1ea2981e7ac5301d131758cf88eb1,1
1.2.826.0.1.3680043.8.498.10262784969531507133353458615303007839,4f2a7b4596c8b2ce6cf5d0482a9788d1,2
1.2.826.0.1.3680043.8.498.10271567891603078238024189515805908561,18c527aeb26812fa50a6294061dd07d0,1
1.2.826.0.1.3680043.8.498.10273861326753707436672556008991334542,b26e8a07002ece0659905a90a1612564,0
1.2.826.0.1.3680043.8.498.10274314637471308855247991547659839029,74f544f248bf8b80da55f93a38e316a6,3
1.2.826.0.1.3680043.8.498.10274956886032850418742861294277331382,240985d06d7b3df9ac8a2a237104ab91,2
1.2.826.0.1.3680043.8.498.10275265831651276229168539541982478639,7409b26e96b21e88dd15f54dc1f7f1bd,0
1.2.826.0.1.3680043.8.498.10284263494252700630857173843779724077,0764b85b35f8f215b149268bf376008b,3
1.2.826.0.1.3680043.8.498.10284446538566255572004044331831825072,537706afeb73dd57d7168b74842fa195,4
1.2.826.0.1.3680043.8.498.10287488031206457680758379452936914669,2c4329e297f99081cba61a955d80b41b,4
1.2.826.0.1.3680043.8.498.10299396087685174806129850512856451005,9043ae44752f58dabd5aee9c478a9170,4
1.2.826.0.1.3680043.8.498.10299618611626190927173051117228647808,3cc8d3f66778032653dbfa889a0da5f7,2
1.2.826.0.1.3680043.8.498.10301089872627496769249366231947887097,643397c50f04655b45330bf5cc23d339,2
1.2.826.0.1.3680043.8.498.10304242666970626179776896768140580106,007daaeb520875173705a70b7ced5497,1
1.2.826.0.1.3680043.8.498.10306159113324811538703788080836752052,798dd8312f2420c6564f53df574e7e31,3
1.2.826.0.1.3680043.8.498.10309477218703786877612946261946268132,d02e2ff80059866b5b2dbe67a47ed4c9,3
1.2.826.0.1.3680043.8.498.10310831394568337664174691281092566272,58554981dc400fa8289492d129f8c2f3,3
1.2.826.0.1.3680043.8.498.10312350714164739081126996907250465738,246387e2b977ab58076aae36e0e61968,2
1.2.826.0.1.3680043.8.498.10314240078685804110739316196999571466,7278ec530179e17bd218c7d3e782f2d9,4
1.2.826.0.1.3680043.8.498.10318366890716843554246682186865048846,6b57280559b6b24246ad1d705df9e2fc,4
1.2.826.0.1.3680043.8.498.10321461243762453573005633063753741725,23339b98b194227c7f05c4f2daaa59b9,4
1.2.826.0.1.3680043.8.498.10321556388278642027434955207617064548,715b3447702a8067825fff14d8afa57c,4
1.2.826.0.1.3680043.8.498.10321702681363532511953946967334431952,419d1ee570ae4eb4f946ce706a0e45c8,3
1.2.826.0.1.3680043.8.498.10322724865012212544754724404226583315,df1b0029bc037e342df5fdcbf3d9af0d,2
1.2.826.0.1.3680043.8.498.10322853084122920408377349136830993432,4bf4dcadf6ffe4b1693dcbc54e738677,4
1.2.826.0.1.3680043.8.498.10326352669696598934883805147731461341,4d4cabe3a99a6cfea5952bcee00bfb4b,0
1.2.826.0.1.3680043.8.498.10327608571317884761792196888985963332,dfb893a9200b12d80be8b82f2326d54c,1
1.2.826.0.1.3680043.8.498.10330805760778577501878048995484987687,565fdc0e2fd8535a5cf4a14007cae78a,3
1.2.826.0.1.3680043.8.498.10336221220793312503236159680373829726,95ac08be5ccbcda73d7f4ad25d0d10fd,4
1.2.826.0.1.3680043.8.498.10336300544286006569730381727202519821,df0d59357020f6c66c89088ef6bcbab1,3
1.2.826.0.1.3680043.8.498.10339654093023509742663983374586998753,d4e20886d3e6a5f6744af8b5c740a480,1
1.2.826.0.1.3680043.8.498.10348611327224519953673858098392135936,ba8460c5555c60a961f9eef7049546d5,0
1.2.826.0.1.3680043.8.498.10349368332722015923160611226877741306,945db9d3c80db6ef0ab54c0e3ff49506,4
1.2.826.0.1.3680043.8.498.10351168527688244230248760520733020605,c7302a18e6ca0306385ec88fb8a18f5d,2
1.2.826.0.1.3680043.8.498.10351460911387106879135924409514835385,3cc8d3f66778032653dbfa889a0da5f7,2
1.2.826.0.1.3680043.8.498.10352011938574988727803498915608467179,4dca477db6765c61f6bf37498becf6ec,4
1.2.826.0.1.3680043.8.498.10352044313309892076985642485759368197,639f4dabca74f8efaf563849e6d4840d,0
1.2.826.0.1.3680043.8.498.10354576637002647863048798607011636355,7eaf6ec21a7696ce93cbe143bde2435f,0
1.2.826.0.1.3680043.8.498.10361030765327974510262894062047216433,c4cbed7062be0de290e2bc334cfa6f03,1
1.2.826.0.1.3680043.8.498.10370612191212456931506340727148605247,b2cc98a1e583f3c18ab17e52e9556ea7,3
1.2.826.0.1.3680043.8.498.10371162371589200772388569623043753617,6da05c3a83cefa97cc88f51fd56c4568,2
1.2.826.0.1.3680043.8.498.10374791734880310643587680407133671218,383be868bc919469365cc1d7657b8a34,2
1.2.826.0.1.3680043.8.498.10378535286770237477615181844634903700,27684e2c532d9b0f87e6a95274fef2d3,1
1.2.826.0.1.3680043.8.498.10382074558506016193900889176239337801,bb2534814a9db43f0eb29d4fd49448c5,1
1.2.826.0.1.3680043.8.498.10386894500329189457070808193345170500,9ee78fa1d438919fe637be4dfe47d17c,0
1.2.826.0.1.3680043.8.498.10387227472110643414333498953513810066,afadb11de33eedd093eb241a27389b9f,4
1.2.826.0.1.3680043.8.498.10387383212921524066516723428665512341,8d6485ede2cbb81f1cd48c36b9b5b14a,4
1.2.826.0.1.3680043.8.498.10387876708310019345913209598612198432,ba0b5b3bbf2f20f992567227a923d959,0
1.2.826.0.1.3680043.8.498.10391178814963564201551003358372148419,1ca66e26d97198781816cc2b82ddbd71,3
1.2.826.0.1.3680043.8.498.10395211177230760565674811878437948933,9673970abf674c7b1e2098dbc86f139f,0
1.2.826.0.1.3680043.8.498.10401813253995823397883215400000450724,6792f785028ad2094edd96fb23bbd28a,3
1.2.826.0.1.3680043.8.498.10402431429660337753694827208437698007,cef3987f9e969a24242653596192dcc2,2
1.2.826.0.1.3680043.8.498.10405028141768633100332386157519916334,105a552b1bc9aa91a6fa4465206c4458,4
1.2.826.0.1.3680043.8.498.10407865232593182855530878478701744409,6b3befc8996ebf458309c6449f7c2ed9,2
1.2.826.0.1.3680043.8.498.10409870090434047408497289167124673434,5399917f6438a48d46e92c956279b4ab,0
1.2.826.0.1.3680043.8.498.10415616591430643294142401482460086713,e87fb8dc6fb2f8f30fe5b8830f7f0dac,2
1.2.826.0.1.3680043.8.498.10417042894702157309437002434676100667,979481e145601ff79ffe2d302fc22ea6,2
1.2.826.0.1.3680043.8.498.10418888172081069709796646795446885715,f74ce52c4a0ab8e511a365eff4c9e5e5,0
1.2.826.0.1.3680043.8.498.10419958821528108176389641942168280311,039f626dbfcd3512d9f20cf5e496916a,1
1.2.826.0.1.3680043.8.498.10419993051271996183722192755371692029,9e02c4ff5b59aba33f59e51f10f1bd4d,2
1.2.826.0.1.3680043.8.498.10422130685453254363700365908336246863,92fbfe40ea21c8ab1b7566ac3ddad913,0
1.2.826.0.1.3680043.8.498.10422536395266111565753575369125069689,eea5e2775946ce7ed83c840257dc47d3,0
1.2.826.0.1.3680043.8.498.10423586531262405323219596291234698626,0d05d4fa9d3ca7ab0836b8b6e47377ce,0
1.2.826.0.1.3680043.8.498.10425131723456547056365404016184663035,35eafb7f6b9aa5c6b3aaf35f50688412,4
1.2.826.0.1.3680043.8.498.10427893579790102216163565692202919399,252c70ed242390f7e7dabbbca7478e6e,0
1.2.826.0.1.3680043.8.498.10429032846672074760218668873927822056,a7e9dc414b3f2eee9c66d16c0d8d066f,4
1.2.826.0.1.3680043.8.498.10432568348356281020515782178064869805,6fffd7edd476c0778d5269a017b95a55,0
1.2.826.0.1.3680043.8.498.10434135978927658622039675788413759069,d8bc0ba25857883dc17b1f750991a097,2
1.2.826.0.1.3680043.8.498.10440858363080910322920496514558347561,e2a814efccbdc910550ebbfb42fb6973,3
1.2.826.0.1.3680043.8.498.10442828926117258624043497279351962738,1c54e67798fcc2ea0f00101724e83d1b,2
1.2.826.0.1.3680043.8.498.10445893053733106322562086357169418409,9e5a53c8cf4f084c2966458987f9d3e4,3
1.2.826.0.1.3680043.8.498.10447920208680921688438738178539475509,0df8c64e49cc6a9a832a39ec69a43811,2
1.2.826.0.1.3680043.8.498.10454875772176439944597553400963295397,067cfd9acebb6a0a139f744623a918e9,0
1.2.826.0.1.3680043.8.498.10455589411958266725060942213473374667,c557b5d9a01c2eaf42f43d0057525cbf,2
1.2.826.0.1.3680043.8.498.10459044164648238749799867924228983674,28867c43284002cb8f4e9cba6327875e,1
1.2.826.0.1.3680043.8.498.10459901081962705567398560859229437818,ea3716eb96e7c7fb842834590a89444d,2
1.2.826.0.1.3680043.8.498.10470282959537049979906878778884086884,ae3cbf69bdfe996bb204eb7511a9a8c3,3
1.2.826.0.1.3680043.8.498.10472519452146922631626638652503679695,c6b8700cbee4a6680c5f721f5031ba90,2
1.2.826.0.1.3680043.8.498.10475397432011699698577978597417345091,21447d6144f667fa6b31fe3d197d7045,1
1.2.826.0.1.3680043.8.498.10485026284343436524865922231113748546,0fbe343faea236d73932855814605beb,0
1.2.826.0.1.3680043.8.498.10491012711700179118010977263805828326,5e3e1a82c1b68d6789fafd6ebe9aa61a,3
1.2.826.0.1.3680043.8.498.10492484093480313596330475837639172625,f5517ee3bc84d230e36f9146f25ce1fa,4
1.2.826.0.1.3680043.8.498.10495281520660483987888839682017074584,0e112b4e3aaef37dcc1df72385c4d192,0
1.2.826.0.1.3680043.8.498.10495855084258410825408867079175646590,2e101765cd4c469e9f5ff4c322317c04,1
1.2.826.0.1.3680043.8.498.10499265498716562276605625682538326716,1bc3396fd67ac4f30548a02d0d8aa5b6,0
1.2.826.0.1.3680043.8.498.10501068619333941198079851978532746117,616a461898da5bc4e7fdcaa50bdc8bca,0
1.2.826.0.1.3680043.8.498.10502440129091559437492859441158882078,e456e59f08be5494f8c2091dedf62ce4,4
1.2.826.0.1.3680043.8.498.10505282086293876725410939800054491454,547ee1582a0b2d69d8380769176fdd36,3
1.2.826.0.1.3680043.8.498.10511712617129216774539441890488742560,87cc6fbb4ed0647e8611247ad7e81230,1
1.2.826.0.1.3680043.8.498.10512466806929129734785318932315918522,e65ed69f126606bd6cb38e0f973aaafc,4
1.2.826.0.1.3680043.8.498.10519480654942067141173172019311858213,22e88fcf2aae14c079eec252725a305e,1
1.2.826.0.1.3680043.8.498.10519566075312736546346469231439794627,dfb893a9200b12d80be8b82f2326d54c,1
1.2.826.0.1.3680043.8.498.10521372086358356219840179458708706015,b0f1464ac1b46c835cceeaaf8c4379c9,3
1.2.826.0.1.3680043.8.498.10522585237725235866013737575867341946,b2864c60bcd30e6abc427a5f627b7503,2
1.2.826.0.1.3680043.8.498.10524164196949381411165626176732559196,2cb027e94a201168d0707ef0f75b5c38,4
1.2.826.0.1.3680043.8.498.10530226787566708645477257565528473018,e77a460c11acdbf1d87deb00af0f9b35,3
1.2.826.0.1.3680043.8.498.10532708800468111850607752497432656694,befb6c566194f50bdae1b74d60d055dc,2
1.2.826.0.1.3680043.8.498.10533568124272062696642461303295694739,d6a15a4aacb28431dbe89c8b63416375,0
1.2.826.0.1.3680043.8.498.10534260101860670685224894870019533364,643397c50f04655b45330bf5cc23d339,2
1.2.826.0.1.3680043.8.498.10536557774352716497356905292652597953,8889c1595109043b4af4ae965efa7fc4,2
1.2.826.0.1.3680043.8.498.10537503354035115750949427337500909327,e1f44eedb97460386138ca837598adbe,2
1.2.826.0.1.3680043.8.498.10538502578022388392340022120166213828,fb91aaebf50d5eda16a2fe37fe233277,2
1.2.826.0.1.3680043.8.498.10540882690103231159064894952851205573,ba73e9a24ef3c470b6dcdee273ed203f,2
1.2.826.0.1.3680043.8.498.10540980111087702906123811593906850156,c1c84e429f685c746370c326aa23aefd,1
1.2.826.0.1.3680043.8.498.10541029960718591409318399557079055927,070f63602d80203709f96b4e5449bda8,0
1.2.826.0.1.3680043.8.498.10541215772904358938061268226270989801,52e8e93f613302fe723a26e4de089a28,3
1.2.826.0.1.3680043.8.498.10541227283184832783436242773084724216,baa2e2ec90ab3b7d45547ea701d03d46,3
1.2.826.0.1.3680043.8.498.10542526906255526405613760733936070251,ad68428bf315222cfc669bb790fe9ea6,1
1.2.826.0.1.3680043.8.498.10546313646515875953943156661172963953,b7a838ed0dc4e03e0d23cbfe68611bb0,0
1.2.826.0.1.3680043.8.498.10549360192675575195491716398555148512,bd5ef4b7dc7c63953290b83795ca9eb9,1
1.2.826.0.1.3680043.8.498.10562412345413239960204081248510238736,0553b262ca15d4c46599ef982fd80f94,4
1.2.826.0.1.3680043.8.498.10563016328082326759266280856730347260,4670596a7ad2adebbeaba302bdc3e7f0,4
1.2.826.0.1.3680043.8.498.10574706940531650593705137704922433109,f8def68339718ed40057ca8a349de12b,2
1.2.826.0.1.3680043.8.498.10578013533179563448221888658506023084,ab3b6a55f575457f8534168d7c723ec9,2
1.2.826.0.1.3680043.8.498.10580260109117947709069163110100632085,20163061a7ac8b8d1e80f4eb87df70fd,2
1.2.826.0.1.3680043.8.498.10581718331223731732815674582085184169,2b540a8945467f94e0c5b9792b2060b8,2
1.2.826.0.1.3680043.8.498.10587511485561679190576188107774736852,6968b42ae37f05a462f93145a8cda17f,1
1.2.826.0.1.3680043.8.498.10589889055723532336864750992142411145,434d9ad341aad175612ef81a5a7f96a7,4
1.2.826.0.1.3680043.8.498.10590148272001480024086117269799629816,8d83ea1110ad2a6ff13f7dbacde364c0,4
1.2.826.0.1.3680043.8.498.10590169032156570386146081157598789893,5f492bae13c952e2e188ae52ad2d7e84,3
1.2.826.0.1.3680043.8.498.10591507262178959553431147886647585916,9d0ea2a15761ddb1bd2d4b43975996c1,4
1.2.826.0.1.3680043.8.498.10593694750925047629619718537436931628,caa066ca643828cafb54e7433dde272c,3
1.2.826.0.1.3680043.8.498.10599128554628698518723223547497007137,f35382db4f19ff2eb2cee9594af1537e,1
1.2.826.0.1.3680043.8.498.10600654987896381983520458496207741798,db2ed97e6f483fb91837383bbe0a5662,3
1.2.826.0.1.3680043.8.498.10601062881015669567737602031338578146,c1f44d2953f17d8321591d46c63bbdaa,0
1.2.826.0.1.3680043.8.498.10601711635138681269270505152909539290,9f98f192708888bddb2a04144ae828eb,3
1.2.826.0.1.3680043.8.498.10601812195848580582490508608655011196,41977868e7d3e60af4278124b007f467,4
1.2.826.0.1.3680043.8.498.10603952065748622499432940419853732241,87b76e42a6ba5b4cc330176a2210d00d,3
1.2.826.0.1.3680043.8.498.10614508096225944703643482200835890514,c30360a126a79666aa31d10da5e37e8b,1
1.2.826.0.1.3680043.8.498.10615816709018712955642546871639043403,e0bc65f4099cc3d8f5b2e864e94219c8,3
1.2.826.0.1.3680043.8.498.10619486897279334206912764495067756449,4cf0b3bbd56469fc9390fc9c1c4527da,4
1.2.826.0.1.3680043.8.498.10619967804774235096151367674093177430,40bad23ef6cd4efc008844018970f8df,0
1.2.826.0.1.3680043.8.498.10624417936475721846835761375334601839,73ab0350fe814c94ee0e46106b420f00,3
1.2.826.0.1.3680043.8.498.10626071553432761206594400919097854593,ff29707884ba85742748e480f6341811,3
1.2.826.0.1.3680043.8.498.10626411974489938664325062396760010912,8eae7e7bc2d4bd1d108110268b3c6c0a,0
1.2.826.0.1.3680043.8.498.10627019153481144392726933328057818971,2776d09e82ab9b37707d2b6d5298cf36,0
1.2.826.0.1.3680043.8.498.10627795990821506536342369227971125477,8f0f46a9aa345df778fb16921de99a66,2
1.2.826.0.1.3680043.8.498.10631238417904652761254062374051500506,cb4e8a1e87679564b132f692a7d058e5,0
1.2.826.0.1.3680043.8.498.10632177122947017620482277062226288392,9c1a8116a98fe46e2af9884b74271cec,1
1.2.826.0.1.3680043.8.498.10642286343421893916348249679230632066,a023eccbea2c3507ce344f941e5dfd59,0
1.2.826.0.1.3680043.8.498.10648346793256473462304051626410900340,73e6afcbda74fa505d6292239781b8d3,2
1.2.826.0.1.3680043.8.498.10650751856837517181090589171468851374,45b4d3a8bf820e1dfee69750ae959f39,3
1.2.826.0.1.3680043.8.498.10652685418462611085839874321267337079,cea26fe2ab37b93c91280469a5f9d321,0
1.2.826.0.1.3680043.8.498.10652764425372125015319160977894047658,28ea5e9e4e772d209934412f7f34016b,2
1.2.826.0.1.3680043.8.498.10653432159060774337155662807644609967,3fee0e337e8060d74f0c59cce9badedb,2
1.2.826.0.1.3680043.8.498.10656388982978239967297620214873636996,3b8abdecba3908ab6533172b6e7bc0bc,2
1.2.826.0.1.3680043.8.498.10657506540109137829814058249895525831,e75b4b43d1bbec2263b3920f017b0efe,3
1.2.826.0.1.3680043.8.498.10657584461509809047185519742966035356,31763f852f9b3aed8ed5715da476844c,3
1.2.826.0.1.3680043.8.498.10659781998801845781246073928620795082,fa870c9528a950bae42a3fb87647ba99,0
1.2.826.0.1.3680043.8.498.10661650555947788912511478165000737040,b90e4d2792fbaa8d94eb6c2dc231fdf7,2
1.2.826.0.1.3680043.8.498.10673300644364559354643106316993112731,de3a46bc3e89c27f0592a65cfaf7c6fb,2
1.2.826.0.1.3680043.8.498.10674673641872871321890995010616205087,e9f8cef35f09a1a2de71050debe65a9c,1
